GradosLibertad,Alfa0.25,Alfa0.1,Alfa0.05,Alfa0.025,Alfa0.01,Alfa0.005
1,1.323,2.706,3.841,5.024,6.635,7.879
2,2.773,4.605,5.991,7.378,9.210,10.597
3,4.108,6.251,7.815,9.348,11.345,12.838
4,5.385,7.779,9.488,11.143,13.277,14.860
5,6.626,9.236,11.071,12.833,15.086,16.750
6,7.841,10.645,12.592,14.449,16.812,18.548
7,9.037,12.017,14.067,16.013,18.475,20.278
8,10.219,13.362,15.507,17.535,20.090,21.955
9,11.389,14.684,16.919,19.023,21.666,23.589
10,12.549,15.987,18.307,20.483,23.209,25.188
11,13.701,17.275,19.675,21.920,24.725,26.757
12,14.845,18.549,21.026,23.337,26.217,28.299
13,15.984,19.812,22.362,24.736,27.688,29.819
14,17.117,21.064,23.685,26.119,29.141,31.319
15,18.245,22.307,24.996,27.488,30.578,32.801
16,19.369,23.542,26.296,28.845,32.000,34.267
17,20.489,24.769,27.587,30.191,33.409,35.718
18,21.605,25.989,28.869,31.526,34.805,37.156
19,22.718,27.204,30.144,32.852,36.191,38.582
20,23.828,28.412,31.410,34.170,37.566,39.997
21,24.935,29.615,32.671,35.479,38.832,41.401
22,26.039,30.813,33.924,36.781,40.289,42.796
23,27.141,32.007,35.172,38.076,41.638,44.181
24,28.241,33.196,36.415,39.364,42.980,45.559
25,29.339,34.382,37.652,40.646,44.314,46.928
26,30.435,35.563,38.885,41.923,45.642,48.290
27,31.528,36.741,40.113,43.194,46.963,49.645
28,32.620,37.916,41.337,44.461,48.278,50.993
29,33.711,39.087,42.557,45.722,49.588,52.336
30,34.800,40.256,43.773,46.979,50.892,53.672
